"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,32473839,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Dolomite",52518,"Mineral Products",5,8163520,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Magnesium Carbonate",52519,"Mineral Products",5,47072223,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gypsum",52520,"Mineral Products",5,29028069,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Limestone",52521,"Mineral Products",5,25289017,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quicklime",52522,"Mineral Products",5,12163072,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Cement",52523,"Mineral Products",5,56500456,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Asbestos",52524,"Mineral Products",5,8447788,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mica",52525,"Mineral Products",5,5665871,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Soapstone",52526,"Mineral Products",5,39586765,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Natural cryolite, natural chiolite",52527,"Mineral Products",5,2312677,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Borax",52528,"Mineral Products",5,19249198,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Feldspar",52529,"Mineral Products",5,10846825,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Other Mineral",52530,"Mineral Products",5,91791034,1995
"Ores, slag and ash",526,"Iron Ore",52601,"Mineral Products",5,173528523,1995
"Ores, slag and ash",526,"Manganese Ore",52602,"Mineral Products",5,2283365,1995
"Ores, slag and ash",526,"Copper Ore",52603,"Mineral Products",5,470698618,1995
"Ores, slag and ash",526,"Nickel Ore",52604,"Mineral Products",5,4071009,1995
"Ores, slag and ash",526,"Cobalt Ore",52605,"Mineral Products",5,7623471,1995
"Ores, slag and ash",526,"Aluminium Ore",52606,"Mineral Products",5,23193273,1995
"Ores, slag and ash",526,"Lead Ore",52607,"Mineral Products",5,24254027,1995
"Ores, slag and ash",526,"Zinc Ore",52608,"Mineral Products",5,240207380,1995
"Ores, slag and ash",526,"Tin Ores",52609,"Mineral Products",5,5703679,1995
"Ores, slag and ash",526,"Chromium Ore",52610,"Mineral Products",5,4053091,1995
"Ores, slag and ash",526,"Tungsten Ore",52611,"Mineral Products",5,424591,1995
"Ores, slag and ash",526,"Uranium and Thorium Ore",52612,"Mineral Products",5,1224,1995
"Ores, slag and ash",526,"Molybdenum Ore",52613,"Mineral Products",5,617211315,1995
"Ores, slag and ash",526,"Titanium Ore",52614,"Mineral Products",5,16594134,1995
"Ores, slag and ash",526,"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,"Mineral Products",5,24271425,1995
"Ores, slag and ash",526,"Precious Metal Ore",52616,"Mineral Products",5,16737432.000000002,1995
"Ores, slag and ash",526,"Other Ores",52617,"Mineral Products",5,9851355,1995
"Ores, slag and ash",526,"Granulated Slag",52618,"Mineral Products",5,2253299,1995
"Ores, slag and ash",526,"Slag Dross",52619,"Mineral Products",5,4929873,1995
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,"Mineral Products",5,243268868,1995
"Ores, slag and ash",526,"Other Slag and Ash",52621,"Mineral Products",5,8013807,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Briquettes",52701,"Mineral Products",5,4151841819,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Lignite",52702,"Mineral Products",5,8150546,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Peat",52703,"Mineral Products",5,3783853,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coke",52704,"Mineral Products",5,142369113,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Non-Petroleum Gas",52705,"Mineral Products",5,749291,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Tar",52706,"Mineral Products",5,10923207,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Tar Oil",52707,"Mineral Products",5,619362672,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Pitch Coke",52708,"Mineral Products",5,41750226,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Crude Petroleum",52709,"Mineral Products",5,86130821,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Refined Petroleum",52710,"Mineral Products",5,4373110514,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Gas",52711,"Mineral Products",5,804639945,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Jelly",52712,"Mineral Products",5,145458133,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Coke",52713,"Mineral Products",5,1086746216,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Bitumen and asphalt",52714,"Mineral Products",5,24425013,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt Mixtures",52715,"Mineral Products",5,26833201,1995
